method,match_count,accuracy,log_loss,brier_score,ece,macro_f1,weighted_f1,draw_recall,away_recall,home_recall,away_ece,draw_ece,home_ece
Uncalibrated hybrid,128,0.5390625,1.0694384870413662,0.6338625284474512,0.16029446555013585,0.3823041654472734,0.4955621707638279,0.0,0.5555555555555556,0.6984126984126984,0.1746568516632443,0.06146889346903314,0.1488353675282229
Platt calibrated,128,0.53125,1.026710090659026,0.6116272979049853,0.10756633921110359,0.3615888615888616,0.4763801443488943,0.0,0.4,0.7936507936507936,0.1378696602053524,0.05027525645486517,0.08381296356500223
Isotonic calibrated,128,0.5625,1.2808477644584566,0.6014870583474867,0.12991286001728336,0.472234880129617,0.5422772129186603,0.15,0.5555555555555556,0.6984126984126984,0.11588682185185492,0.0742801628797522,0.10018346991298346
