competition,configuration,ml_weight,poisson_weight,match_count,accuracy,log_loss,brier_score,macro_f1,weighted_f1,draw_recall,away_recall,home_recall
Overall,ML only,1.0,0.0,10343,0.5070095716909987,1.014895534548414,0.5991644290283892,0.4515077867230664,0.485452349465338,0.15517905275317675,0.6338983050847458,0.6185292157298378
Bundesliga,ML only,1.0,0.0,1151,0.4926151172893136,1.0292221740034735,0.606184417180381,0.4183999718100269,0.4598335248190962,0.08070175438596491,0.6025316455696202,0.6496815286624203
Champions League,ML only,1.0,0.0,378,0.5634920634920635,1.0289962573937204,0.584532107172432,0.45244913928012515,0.537945760985667,0.1016949152542373,0.59375,0.6858638743455497
Eredivisie,ML only,1.0,0.0,1200,0.5033333333333333,1.0263702199724674,0.605068527825211,0.44797775778041427,0.48055889777641747,0.1465798045602606,0.672316384180791,0.5955473098330241
La Liga,ML only,1.0,0.0,1508,0.493368700265252,1.0214170345612705,0.6008222846156728,0.45181964242493294,0.4887220157340751,0.21428571428571427,0.596244131455399,0.5809659090909091
Ligue 1,ML only,1.0,0.0,1210,0.5173553719008265,1.0234080295059977,0.6033543973320609,0.45484554980142794,0.49889389282096874,0.16236162361623616,0.6392572944297082,0.6067615658362989
Premier League,ML only,1.0,0.0,1520,0.47960526315789476,1.0376832050529032,0.6189984943983482,0.3955987191336512,0.433890147646094,0.048223350253807105,0.6056910569105691,0.6498422712933754
Primeira Liga,ML only,1.0,0.0,1220,0.5377049180327869,0.9608895910591457,0.5655996513465048,0.5073837738477527,0.5279895803954183,0.2716049382716049,0.6997389033942559,0.5847953216374269
Serie A,ML only,1.0,0.0,1508,0.5185676392572944,1.002300535608956,0.5952001635195214,0.47168733632686405,0.4937705872802133,0.17560975609756097,0.6383399209486166,0.6537162162162162
Turkish Super League,ML only,1.0,0.0,648,0.4984567901234568,1.006437280868721,0.5985094084516753,0.4440622657748851,0.47613108615781824,0.14792899408284024,0.657608695652174,0.6
Overall,Poisson only,0.0,1.0,10343,0.5198685101034516,1.0086516997108712,0.6011918618592287,0.39313775144552743,0.4463805608864835,0.0011551790527531767,0.6551617873651772,0.7216174183514774
Bundesliga,Poisson only,0.0,1.0,1151,0.5178105994787141,1.0226207811509158,0.6081249407124241,0.39161686828452463,0.4445572358855215,0.0,0.6253164556962025,0.7409766454352441
Champions League,Poisson only,0.0,1.0,378,0.5661375661375662,1.0040116343111973,0.5881788471428572,0.4054330682237659,0.5204543723369858,0.0,0.6640625,0.675392670157068
Eredivisie,Poisson only,0.0,1.0,1200,0.515,1.0123278301793224,0.6016210632416666,0.38911201867270373,0.44059235003296804,0.0,0.6666666666666666,0.7087198515769945
La Liga,Poisson only,0.0,1.0,1508,0.5125994694960212,1.006946271736204,0.6014815812301061,0.38685466100143534,0.44656636587023774,0.007936507936507936,0.6431924882629108,0.7045454545454546
Ligue 1,Poisson only,0.0,1.0,1210,0.5190082644628099,1.0052111617763109,0.5984167402479339,0.38502576788291076,0.45574199747517335,0.0,0.6472148541114059,0.6832740213523132
Premier League,Poisson only,0.0,1.0,1520,0.5006578947368421,1.044608876478185,0.6268719696217105,0.38014316020461464,0.42562329610037647,0.0,0.6158536585365854,0.722397476340694
Primeira Liga,Poisson only,0.0,1.0,1220,0.55,0.9561608564514681,0.5678895351065574,0.42002163372440454,0.46625812780613124,0.0,0.720626631853786,0.7699805068226121
Serie A,Poisson only,0.0,1.0,1508,0.519893899204244,1.0101356612865997,0.6035276677718833,0.3996671444497532,0.4375690092400968,0.0,0.6600790513833992,0.7601351351351351
