configuration,ml_weight,poisson_weight,match_count,accuracy,log_loss,brier_score,macro_f1,weighted_f1,draw_recall,away_recall,home_recall,predicted_away_wins,predicted_draws,predicted_home_wins
ML only,1.0,0.0,378,0.582010582010582,1.00746248572528,0.5751350053310867,0.464036554359135,0.5539508107864483,0.1016949152542373,0.5859375,0.7277486910994765,151,11,216
Poisson only,0.0,1.0,378,0.5740740740740741,0.9821742739124736,0.5777933423280424,0.40964085297418634,0.527809755402348,0.0,0.6484375,0.7015706806282722,169,0,209
70 ML / 30 Poisson,0.7,0.3,378,0.5740740740740741,0.986181400516355,0.570898172757336,0.42572802162047574,0.5332489651440732,0.03389830508474576,0.59375,0.7277486910994765,156,2,220
60 ML / 40 Poisson,0.6,0.4,378,0.5846560846560847,0.9822349863650544,0.5704448159323405,0.4342059666521569,0.5432277391073335,0.03389830508474576,0.6171875,0.7329842931937173,158,2,218
50 ML / 50 Poisson,0.5,0.5,378,0.58994708994709,0.9794425127734705,0.570470919457139,0.43917025498584444,0.5485746883467574,0.03389830508474576,0.640625,0.7277486910994765,162,2,214
40 ML / 60 Poisson,0.4,0.6,378,0.582010582010582,0.9777201121455545,0.5709764833317316,0.41381003165574803,0.5344999555298677,0.0,0.6328125,0.7277486910994765,163,0,215
