league,league_key,season,url,status,matches,error
Ligue 1,ligue_1,2021-22,https://www.football-data.co.uk/mmz4281/2122/F1.csv,OK,380,
Ligue 1,ligue_1,2022-23,https://www.football-data.co.uk/mmz4281/2223/F1.csv,OK,380,
Ligue 1,ligue_1,2023-24,https://www.football-data.co.uk/mmz4281/2324/F1.csv,OK,306,
Ligue 1,ligue_1,2024-25,https://www.football-data.co.uk/mmz4281/2425/F1.csv,OK,306,
Ligue 1,ligue_1,2025-26,https://www.football-data.co.uk/mmz4281/2526/F1.csv,OK,306,
Eredivisie,eredivisie,2016-17,https://www.football-data.co.uk/mmz4281/1617/N1.csv,OK,306,
Eredivisie,eredivisie,2017-18,https://www.football-data.co.uk/mmz4281/1718/N1.csv,OK,306,
Eredivisie,eredivisie,2018-19,https://www.football-data.co.uk/mmz4281/1819/N1.csv,OK,306,
Eredivisie,eredivisie,2019-20,https://www.football-data.co.uk/mmz4281/1920/N1.csv,OK,232,
Eredivisie,eredivisie,2020-21,https://www.football-data.co.uk/mmz4281/2021/N1.csv,OK,306,
Eredivisie,eredivisie,2021-22,https://www.football-data.co.uk/mmz4281/2122/N1.csv,OK,306,
Eredivisie,eredivisie,2022-23,https://www.football-data.co.uk/mmz4281/2223/N1.csv,OK,306,
Eredivisie,eredivisie,2023-24,https://www.football-data.co.uk/mmz4281/2324/N1.csv,OK,306,
Eredivisie,eredivisie,2024-25,https://www.football-data.co.uk/mmz4281/2425/N1.csv,OK,306,
Eredivisie,eredivisie,2025-26,https://www.football-data.co.uk/mmz4281/2526/N1.csv,OK,306,
Primeira Liga,primeira_liga,2016-17,https://www.football-data.co.uk/mmz4281/1617/P1.csv,OK,306,
Primeira Liga,primeira_liga,2017-18,https://www.football-data.co.uk/mmz4281/1718/P1.csv,OK,306,
Primeira Liga,primeira_liga,2018-19,https://www.football-data.co.uk/mmz4281/1819/P1.csv,OK,306,
Primeira Liga,primeira_liga,2019-20,https://www.football-data.co.uk/mmz4281/1920/P1.csv,OK,306,
Primeira Liga,primeira_liga,2020-21,https://www.football-data.co.uk/mmz4281/2021/P1.csv,OK,306,
Primeira Liga,primeira_liga,2021-22,https://www.football-data.co.uk/mmz4281/2122/P1.csv,OK,306,
Primeira Liga,primeira_liga,2022-23,https://www.football-data.co.uk/mmz4281/2223/P1.csv,OK,306,
Primeira Liga,primeira_liga,2023-24,https://www.football-data.co.uk/mmz4281/2324/P1.csv,OK,306,
Primeira Liga,primeira_liga,2024-25,https://www.football-data.co.uk/mmz4281/2425/P1.csv,OK,306,
Primeira Liga,primeira_liga,2025-26,https://www.football-data.co.uk/mmz4281/2526/P1.csv,OK,306,
Turkish Super League,super_lig,2016-17,https://www.football-data.co.uk/mmz4281/1617/T1.csv,OK,306,
Turkish Super League,super_lig,2017-18,https://www.football-data.co.uk/mmz4281/1718/T1.csv,OK,306,
