match_id,date,competition,season,stage,matchday,home_team,away_team,home_goals,away_goals,winner,country,league_name,data_source
438617,2023-12-03,PD,2023,REGULAR_SEASON,15.0,FC Barcelona,Club Atlético de Madrid,1,0,H,,PD,existing_project_data
441906,2023-12-09,BL1,2023,REGULAR_SEASON,14.0,Borussia Dortmund,RB Leipzig,2,3,A,,BL1,existing_project_data
league_368946f27cc74379,2023-12-09,BUNDESLIGA,2023-24,LEAGUE,,Borussia Dortmund,RB Leipzig,2,3,A,Germany,Bundesliga,football-data.co.uk
441908,2023-12-09,BL1,2023,REGULAR_SEASON,14.0,Eintracht Frankfurt,FC Bayern München,5,1,H,,BL1,existing_project_data
league_60479058b435a30e,2023-12-09,BUNDESLIGA,2023-24,LEAGUE,,Eintracht Frankfurt,FC Bayern München,5,1,H,Germany,Bundesliga,football-data.co.uk
441918,2023-12-17,BL1,2023,REGULAR_SEASON,15.0,Bayer 04 Leverkusen,Eintracht Frankfurt,3,0,H,,BL1,existing_project_data
league_4fa11264bb1e9ba4,2023-12-17,BUNDESLIGA,2023-24,LEAGUE,,Bayer 04 Leverkusen,Eintracht Frankfurt,3,0,H,Germany,Bundesliga,football-data.co.uk
441927,2023-12-20,BL1,2023,REGULAR_SEASON,16.0,Eintracht Frankfurt,Borussia Mönchengladbach,2,1,H,,BL1,existing_project_data
league_9ca6ee8de01483e0,2023-12-20,BUNDESLIGA,2023-24,LEAGUE,,Eintracht Frankfurt,Borussia Mönchengladbach,2,1,H,Germany,Bundesliga,football-data.co.uk
441934,2024-01-13,BL1,2023,REGULAR_SEASON,17.0,RB Leipzig,Eintracht Frankfurt,0,1,A,,BL1,existing_project_data
league_e9fdc584f57725bf,2024-01-13,BUNDESLIGA,2023-24,LEAGUE,,RB Leipzig,Eintracht Frankfurt,0,1,A,Germany,Bundesliga,football-data.co.uk
444451,2024-01-14,SA,2023,REGULAR_SEASON,20.0,AC Milan,AS Roma,3,1,H,,SA,existing_project_data
league_dd8aed8278377b97,2024-01-14,SERIE_A,2023-24,LEAGUE,,AC Milan,AS Roma,3,1,H,Italy,Serie A,football-data.co.uk
441945,2024-01-20,BL1,2023,REGULAR_SEASON,18.0,RB Leipzig,Bayer 04 Leverkusen,2,3,A,,BL1,existing_project_data
league_fadcd1d9e703686e,2024-01-20,BUNDESLIGA,2023-24,LEAGUE,,RB Leipzig,Bayer 04 Leverkusen,2,3,A,Germany,Bundesliga,football-data.co.uk
441642,2024-01-21,DED,2023,REGULAR_SEASON,18.0,Sparta Rotterdam,Go Ahead Eagles,0,2,A,,DED,existing_project_data
league_b5d12902d01b4439,2024-01-21,EREDIVISIE,2023-24,LEAGUE,,Sparta Rotterdam,Go Ahead Eagles,0,2,A,Netherlands,Eredivisie,football-data.co.uk
441955,2024-01-27,BL1,2023,REGULAR_SEASON,19.0,Bayer 04 Leverkusen,Borussia Mönchengladbach,0,0,D,,BL1,existing_project_data
league_fb02f338ed1fe8e8,2024-01-27,BUNDESLIGA,2023-24,LEAGUE,,Bayer 04 Leverkusen,Borussia Mönchengladbach,0,0,D,Germany,Bundesliga,football-data.co.uk
441964,2024-02-03,BL1,2023,REGULAR_SEASON,20.0,FC Bayern München,Borussia Mönchengladbach,3,1,H,,BL1,existing_project_data
league_bfc19cbcf4410cfd,2024-02-03,BUNDESLIGA,2023-24,LEAGUE,,FC Bayern München,Borussia Mönchengladbach,3,1,H,Germany,Bundesliga,football-data.co.uk
league_e60a65c625623777,2024-02-04,LA_LIGA,2023-24,LEAGUE,,Real Madrid CF,Club Atlético de Madrid,1,1,D,Spain,La Liga,football-data.co.uk
438703,2024-02-04,PD,2023,REGULAR_SEASON,23.0,Real Madrid CF,Club Atlético de Madrid,1,1,D,,PD,existing_project_data
441969,2024-02-10,BL1,2023,REGULAR_SEASON,21.0,Bayer 04 Leverkusen,FC Bayern München,3,0,H,,BL1,existing_project_data
league_5e5aa03134382c87,2024-02-10,BUNDESLIGA,2023-24,LEAGUE,,Bayer 04 Leverkusen,FC Bayern München,3,0,H,Germany,Bundesliga,football-data.co.uk
441666,2024-02-11,DED,2023,REGULAR_SEASON,21.0,Feyenoord Rotterdam,Sparta Rotterdam,2,0,H,,DED,existing_project_data
league_fe25b4d76e9e9169,2024-02-11,EREDIVISIE,2023-24,LEAGUE,,Feyenoord Rotterdam,Sparta Rotterdam,2,0,H,Netherlands,Eredivisie,football-data.co.uk
441983,2024-02-17,BL1,2023,REGULAR_SEASON,22.0,RB Leipzig,Borussia Mönchengladbach,2,0,H,,BL1,existing_project_data
league_2bb9ed193c550f7d,2024-02-17,BUNDESLIGA,2023-24,LEAGUE,,RB Leipzig,Borussia Mönchengladbach,2,0,H,Germany,Bundesliga,football-data.co.uk
441987,2024-02-24,BL1,2023,REGULAR_SEASON,23.0,FC Bayern München,RB Leipzig,2,1,H,,BL1,existing_project_data
league_b5e1106fe514d352,2024-02-24,BUNDESLIGA,2023-24,LEAGUE,,FC Bayern München,RB Leipzig,2,1,H,Germany,Bundesliga,football-data.co.uk
444519,2024-03-01,SA,2023,REGULAR_SEASON,27.0,SS Lazio,AC Milan,0,1,A,,SA,existing_project_data
league_96f902d9b5188ffe,2024-03-01,SERIE_A,2023-24,LEAGUE,,SS Lazio,AC Milan,0,1,A,Italy,Serie A,football-data.co.uk
442017,2024-03-17,BL1,2023,REGULAR_SEASON,26.0,Borussia Dortmund,Eintracht Frankfurt,3,1,H,,BL1,existing_project_data
league_77ef00a34951f2af,2024-03-17,BUNDESLIGA,2023-24,LEAGUE,,Borussia Dortmund,Eintracht Frankfurt,3,1,H,Germany,Bundesliga,football-data.co.uk
league_217ec2a851e02b54,2024-03-17,LA_LIGA,2023-24,LEAGUE,,Club Atlético de Madrid,FC Barcelona,0,3,A,Spain,La Liga,football-data.co.uk
438755,2024-03-17,PD,2023,REGULAR_SEASON,29.0,Club Atlético de Madrid,FC Barcelona,0,3,A,,PD,existing_project_data
442023,2024-03-30,BL1,2023,REGULAR_SEASON,27.0,FC Bayern München,Borussia Dortmund,0,2,A,,BL1,existing_project_data
league_aebdcc243973a277,2024-03-30,BUNDESLIGA,2023-24,LEAGUE,,FC Bayern München,Borussia Dortmund,0,2,A,Germany,Bundesliga,football-data.co.uk
444561,2024-04-06,SA,2023,REGULAR_SEASON,31.0,AS Roma,SS Lazio,1,0,H,,SA,existing_project_data
league_adfeb0b3ccea86d3,2024-04-06,SERIE_A,2023-24,LEAGUE,,AS Roma,SS Lazio,1,0,H,Italy,Serie A,football-data.co.uk
442041,2024-04-13,BL1,2023,REGULAR_SEASON,29.0,Borussia Mönchengladbach,Borussia Dortmund,1,2,A,,BL1,existing_project_data
league_33e0a4e65684b415,2024-04-13,BUNDESLIGA,2023-24,LEAGUE,,Borussia Mönchengladbach,Borussia Dortmund,1,2,A,Germany,Bundesliga,football-data.co.uk
442052,2024-04-21,BL1,2023,REGULAR_SEASON,30.0,Borussia Dortmund,Bayer 04 Leverkusen,1,1,D,,BL1,existing_project_data
league_81adbb4d66222eb5,2024-04-21,BUNDESLIGA,2023-24,LEAGUE,,Borussia Dortmund,Bayer 04 Leverkusen,1,1,D,Germany,Bundesliga,football-data.co.uk
442973,2024-04-21,FL1,2023,REGULAR_SEASON,30.0,Paris Saint-Germain FC,Olympique Lyonnais,4,1,H,,FL1,existing_project_data
league_d8b827b40c6d0079,2024-04-21,LIGUE_1,2023-24,LEAGUE,,Paris Saint-Germain FC,Olympique Lyonnais,4,1,H,France,Ligue 1,football-data.co.uk
league_1129cd5fd45f0068,2024-04-21,LA_LIGA,2023-24,LEAGUE,,Real Madrid CF,FC Barcelona,3,2,H,Spain,La Liga,football-data.co.uk
438792,2024-04-21,PD,2023,REGULAR_SEASON,32.0,Real Madrid CF,FC Barcelona,3,2,H,,PD,existing_project_data
441753,2024-04-25,DED,2023,REGULAR_SEASON,31.0,Go Ahead Eagles,Feyenoord Rotterdam,1,3,A,,DED,existing_project_data
league_ffbd852d868f56df,2024-04-25,EREDIVISIE,2023-24,LEAGUE,,Go Ahead Eagles,Feyenoord Rotterdam,1,3,A,Netherlands,Eredivisie,football-data.co.uk
442061,2024-04-27,BL1,2023,REGULAR_SEASON,31.0,FC Bayern München,Eintracht Frankfurt,2,1,H,,BL1,existing_project_data
league_15a8a49e7cef6c2d,2024-04-27,BUNDESLIGA,2023-24,LEAGUE,,FC Bayern München,Eintracht Frankfurt,2,1,H,Germany,Bundesliga,football-data.co.uk
442059,2024-04-27,BL1,2023,REGULAR_SEASON,31.0,RB Leipzig,Borussia Dortmund,4,1,H,,BL1,existing_project_data
league_82ce3ad466d754c3,2024-04-27,BUNDESLIGA,2023-24,LEAGUE,,RB Leipzig,Borussia Dortmund,4,1,H,Germany,Bundesliga,football-data.co.uk
442071,2024-05-05,BL1,2023,REGULAR_SEASON,32.0,Eintracht Frankfurt,Bayer 04 Leverkusen,1,5,A,,BL1,existing_project_data
league_3d04deb0a12e7dfa,2024-05-05,BUNDESLIGA,2023-24,LEAGUE,,Eintracht Frankfurt,Bayer 04 Leverkusen,1,5,A,Germany,Bundesliga,football-data.co.uk
442080,2024-05-11,BL1,2023,REGULAR_SEASON,33.0,Borussia Mönchengladbach,Eintracht Frankfurt,1,1,D,,BL1,existing_project_data
league_1fcfef835d30ff1a,2024-05-11,BUNDESLIGA,2023-24,LEAGUE,,Borussia Mönchengladbach,Eintracht Frankfurt,1,1,D,Germany,Bundesliga,football-data.co.uk
442087,2024-05-18,BL1,2023,REGULAR_SEASON,34.0,Eintracht Frankfurt,RB Leipzig,2,2,D,,BL1,existing_project_data
league_98314c0e048fba59,2024-05-18,BUNDESLIGA,2023-24,LEAGUE,,Eintracht Frankfurt,RB Leipzig,2,2,D,Germany,Bundesliga,football-data.co.uk
502371,2024-08-23,BL1,2024,REGULAR_SEASON,1.0,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,3,A,,BL1,existing_project_data
