league,sport_key,api_team,status,matched_model_team,best_candidate,best_score,second_best_score,score_margin,distinctive_overlap,reason
Champions League Qualification,soccer_uefa_champs_league_qualification,Fenerbahce,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Champions League Qualification,soccer_uefa_champs_league_qualification,Hapoel Be'er Sheva,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Champions League Qualification,soccer_uefa_champs_league_qualification,Lyon,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Champions League Qualification,soccer_uefa_champs_league_qualification,Mjällby AIF,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Champions League Qualification,soccer_uefa_champs_league_qualification,NEC Nijmegen,MISSING,,NEC,0.535,0.0,0.535,nec,The best candidate score is below the required threshold of 84%.
Champions League Qualification,soccer_uefa_champs_league_qualification,NK Celje,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Champions League Qualification,soccer_uefa_champs_league_qualification,Olympiakos Piraeus,MISSING,,PAE Olympiakos SFP,0.24825,0.0,0.24825,olympiakos,The best candidate score is below the required threshold of 84%.
Champions League Qualification,soccer_uefa_champs_league_qualification,PFC Levski Sofia,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Champions League Qualification,soccer_uefa_champs_league_qualification,Red Star Belgrade,MISSING,,FC Red Bull Salzburg,0.1623945945945946,0.0,0.1623945945945946,red,The best candidate score is below the required threshold of 84%.
Champions League Qualification,soccer_uefa_champs_league_qualification,Sabah FK,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Champions League Qualification,soccer_uefa_champs_league_qualification,Sparta Prague,MISSING,,Sparta Rotterdam,0.34562068965517245,0.2850714285714286,0.060549261083743866,sparta,The best candidate score is below the required threshold of 84%.
Champions League Qualification,soccer_uefa_champs_league_qualification,Union Saint-Gilloise,MISSING,,Royale Union Saint-Gilloise,0.7083413926499033,0.19695000000000001,0.5113913926499032,"gilloise, saint, union",The best candidate score is below the required threshold of 84%.
EFL Championship,soccer_efl_champ,Birmingham City,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Blackburn Rovers,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Bolton Wanderers,MISSING,,Wolverhampton Wanderers FC,0.30662406015037597,0.0,0.30662406015037597,wanderers,The best candidate score is below the required threshold of 84%.
EFL Championship,soccer_efl_champ,Bristol City,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Cardiff City,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Charlton Athletic,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Derby County,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Lincoln City,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Middlesbrough,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Millwall,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Norwich City,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Portsmouth,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Preston North End,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Queens Park Rangers,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Stoke City,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Swansea City,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,Watford,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
EFL Championship,soccer_efl_champ,West Bromwich Albion,MISSING,,West Ham United FC,0.26051315789473684,0.1615516717325228,0.09896148616221404,west,The best candidate score is below the required threshold of 84%.
EFL Championship,soccer_efl_champ,Wrexham AFC,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Eredivisie,soccer_netherlands_eredivisie,ADO Den Haag,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Eredivisie,soccer_netherlands_eredivisie,AZ Alkmaar,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Eredivisie,soccer_netherlands_eredivisie,Ajax,MISSING,,AFC Ajax,0.7785714285714286,0.0,0.7785714285714286,ajax,The best candidate score is below the required threshold of 84%.
Eredivisie,soccer_netherlands_eredivisie,Excelsior,MISSING,,SBV Excelsior,0.5143939393939394,0.0,0.5143939393939394,excelsior,The best candidate score is below the required threshold of 84%.
Eredivisie,soccer_netherlands_eredivisie,FC Twente Enschede,MISSING,,FC Twente '65,0.575,0.0,0.575,twente,The best candidate score is below the required threshold of 84%.
Eredivisie,soccer_netherlands_eredivisie,FC Zwolle,MISSING,,PEC Zwolle,0.5079824561403509,0.0,0.5079824561403509,zwolle,The best candidate score is below the required threshold of 84%.
Eredivisie,soccer_netherlands_eredivisie,Feyenoord,MISSING,,Feyenoord Rotterdam,0.5714285714285714,0.0,0.5714285714285714,feyenoord,The best candidate score is below the required threshold of 84%.
Eredivisie,soccer_netherlands_eredivisie,Groningen,MISSING,,FC Groningen,0.7785714285714286,0.0,0.7785714285714286,groningen,The best candidate score is below the required threshold of 84%.
Eredivisie,soccer_netherlands_eredivisie,Heerenveen,MISSING,,SC Heerenveen,0.7804347826086957,0.0,0.7804347826086957,heerenveen,The best candidate score is below the required threshold of 84%.
Eredivisie,soccer_netherlands_eredivisie,NEC Nijmegen,MISSING,,NEC,0.535,0.0,0.535,nec,The best candidate score is below the required threshold of 84%.
Eredivisie,soccer_netherlands_eredivisie,SC Cambuur,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Eredivisie,soccer_netherlands_eredivisie,SC Telstar,MISSING,,Telstar 1963,0.45934343434343433,0.0,0.45934343434343433,telstar,The best candidate score is below the required threshold of 84%.
Eredivisie,soccer_netherlands_eredivisie,Willem II,MISSING,,Willem II Tilburg,0.6121794871794871,0.0,0.6121794871794871,willem,The best candidate score is below the required threshold of 84%.
La Liga,soccer_spain_la_liga,Alavés,MISSING,,Deportivo Alavés,0.4701515151515151,0.0,0.4701515151515151,alaves,The best candidate score is below the required threshold of 84%.
La Liga,soccer_spain_la_liga,Athletic Bilbao,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
La Liga,soccer_spain_la_liga,Celta Vigo,MISSING,,RC Celta de Vigo,0.793956043956044,0.0,0.793956043956044,"celta, vigo",The best candidate score is below the required threshold of 84%.
La Liga,soccer_spain_la_liga,Deportivo La Coruña,MISSING,,Deportivo Alavés,0.3402285714285715,0.0,0.3402285714285715,deportivo,The best candidate score is below the required threshold of 84%.
La Liga,soccer_spain_la_liga,Espanyol,MISSING,,RCD Espanyol de Barcelona,0.2387272727272727,0.0,0.2387272727272727,espanyol,The best candidate score is below the required threshold of 84%.
La Liga,soccer_spain_la_liga,Málaga,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
La Liga,soccer_spain_la_liga,Rayo Vallecano,MISSING,,Rayo Vallecano de Madrid,0.6771929824561403,0.0,0.6771929824561403,"rayo, vallecano",The best candidate score is below the required threshold of 84%.
La Liga,soccer_spain_la_liga,Real Betis,MISSING,,Real Betis Balompié,0.6117816091954023,0.0,0.6117816091954023,betis,The best candidate score is below the required threshold of 84%.
La Liga,soccer_spain_la_liga,Real Racing Club de Santander,MISSING,,Racing Club de Lens,0.3302,0.0,0.3302,racing,The best candidate score is below the required threshold of 84%.
