league,sport_key,api_team,status,matched_model_team,best_candidate,best_score,second_best_score,score_margin,distinctive_overlap,reason
Serie A,soccer_italy_serie_a,Napoli,MISSING,,SSC Napoli,0.7625,0.0,0.7625,napoli,The best candidate score is below the required threshold of 84%.
Serie A,soccer_italy_serie_a,Parma,MISSING,,Parma Calcio 1913,0.7848484848484848,0.0,0.7848484848484848,parma,The best candidate score is below the required threshold of 84%.
Serie A,soccer_italy_serie_a,Sassuolo,MISSING,,US Sassuolo Calcio,0.728974358974359,0.0,0.728974358974359,sassuolo,The best candidate score is below the required threshold of 84%.
Turkish Super League,soccer_turkey_super_league,Akhisar Belediyespor,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Alanyaspor,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Amed SK,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Basaksehir,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Besiktas JK,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Erzurum BB,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Eyüpspor,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Fenerbahce,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Gazişehir Gaziantep,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Genclerbirligi SK,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Goztepe,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Kasimpasa SK,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Kocaelispor,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Samsunspor,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Torku Konyaspor,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Trabzonspor,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Turkish Super League,soccer_turkey_super_league,Çaykur Rizespor,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,Club Brugge,MATCHED,Club Brugge KV,Club Brugge KV,0.99,0.0,0.99,brugge,Verified team alias match.
Belgian First Division,soccer_belgium_first_div,Royal Antwerp,MATCHED,Royal Antwerp FC,Royal Antwerp FC,0.9178160919540229,0.0,0.9178160919540229,"antwerp, royal",High-confidence distinctive-name match.
Bundesliga,soccer_germany_bundesliga,1. FC Köln,MATCHED,1. FC Köln,1. FC Köln,1.0,0.0,1.0,koln,Exact normalized team-name match.
Bundesliga,soccer_germany_bundesliga,Bayer Leverkusen,MATCHED,Bayer 04 Leverkusen,Bayer 04 Leverkusen,0.99,0.0,0.99,"bayer, leverkusen",Verified team alias match.
Bundesliga,soccer_germany_bundesliga,Bayern Munich,MATCHED,FC Bayern München,FC Bayern München,0.99,0.0,0.99,"bayern, munchen, munich",Verified team alias match.
Bundesliga,soccer_germany_bundesliga,Borussia Dortmund,MATCHED,Borussia Dortmund,Borussia Dortmund,1.0,0.3300731707317074,0.6699268292682926,"borussia, dortmund",Exact normalized team-name match.
Bundesliga,soccer_germany_bundesliga,Borussia Monchengladbach,MATCHED,Borussia Mönchengladbach,Borussia Mönchengladbach,1.0,0.34148780487804875,0.6585121951219512,"borussia, monchengladbach",Exact normalized team-name match.
Bundesliga,soccer_germany_bundesliga,Eintracht Frankfurt,MATCHED,Eintracht Frankfurt,Eintracht Frankfurt,1.0,0.0,1.0,"eintracht, frankfurt",Exact normalized team-name match.
Bundesliga,soccer_germany_bundesliga,Hamburger SV,MATCHED,Hamburger SV,Hamburger SV,1.0,0.0,1.0,hamburger,Exact normalized team-name match.
Bundesliga,soccer_germany_bundesliga,RB Leipzig,MATCHED,RB Leipzig,RB Leipzig,1.0,0.0,1.0,leipzig,Exact normalized team-name match.
Bundesliga,soccer_germany_bundesliga,SC Freiburg,MATCHED,SC Freiburg,SC Freiburg,1.0,0.0,1.0,freiburg,Exact normalized team-name match.
Bundesliga,soccer_germany_bundesliga,VfB Stuttgart,MATCHED,VfB Stuttgart,VfB Stuttgart,1.0,0.0,1.0,stuttgart,Exact normalized team-name match.
Champions League Qualification,soccer_uefa_champs_league_qualification,SK Sturm Graz,MATCHED,SK Sturm Graz,SK Sturm Graz,1.0,0.0,1.0,"graz, sturm",Exact normalized team-name match.
Champions League Qualification,soccer_uefa_champs_league_qualification,ŠK Slovan Bratislava,MATCHED,ŠK Slovan Bratislava,ŠK Slovan Bratislava,1.0,0.0,1.0,"bratislava, slovan",Exact normalized team-name match.
EFL Championship,soccer_efl_champ,Burnley,MATCHED,Burnley FC,Burnley FC,0.8735294117647059,0.0,0.8735294117647059,burnley,High-confidence distinctive-name match.
EFL Championship,soccer_efl_champ,Sheffield United,MATCHED,Sheffield United FC,Sheffield United FC,0.9204761904761904,0.0,0.9204761904761904,sheffield,High-confidence distinctive-name match.
EFL Championship,soccer_efl_champ,Southampton,MATCHED,Southampton FC,Southampton FC,0.882,0.0,0.882,southampton,High-confidence distinctive-name match.
EFL Championship,soccer_efl_champ,West Ham United,MATCHED,West Ham United FC,West Ham United FC,0.9363636363636364,0.0,0.9363636363636364,"ham, west",High-confidence distinctive-name match.
EFL Championship,soccer_efl_champ,Wolverhampton Wanderers,MATCHED,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,0.9241496598639456,0.0,0.9241496598639456,"wanderers, wolverhampton",High-confidence distinctive-name match.
Eredivisie,soccer_netherlands_eredivisie,FC Utrecht,MATCHED,FC Utrecht,FC Utrecht,1.0,0.0,1.0,utrecht,Exact normalized team-name match.
Eredivisie,soccer_netherlands_eredivisie,Fortuna Sittard,MATCHED,Fortuna Sittard,Fortuna Sittard,1.0,0.0,1.0,"fortuna, sittard",Exact normalized team-name match.
Eredivisie,soccer_netherlands_eredivisie,Go Ahead Eagles,MATCHED,Go Ahead Eagles,Go Ahead Eagles,1.0,0.0,1.0,"ahead, eagles",Exact normalized team-name match.
Eredivisie,soccer_netherlands_eredivisie,PSV Eindhoven,MATCHED,PSV,PSV,0.99,0.0,0.99,"eindhoven, psv",Verified team alias match.
Eredivisie,soccer_netherlands_eredivisie,Sparta Rotterdam,MATCHED,Sparta Rotterdam,Sparta Rotterdam,1.0,0.27894285714285716,0.7210571428571428,"rotterdam, sparta",Exact normalized team-name match.
La Liga,soccer_spain_la_liga,Atlético Madrid,MATCHED,Club Atlético de Madrid,Club Atlético de Madrid,0.99,0.7264367816091954,0.26356321839080454,madrid,Verified team alias match.
La Liga,soccer_spain_la_liga,Barcelona,MATCHED,FC Barcelona,FC Barcelona,0.99,0.26994117647058824,0.7200588235294118,barcelona,Verified team alias match.
La Liga,soccer_spain_la_liga,CA Osasuna,MATCHED,CA Osasuna,CA Osasuna,1.0,0.0,1.0,osasuna,Exact normalized team-name match.
La Liga,soccer_spain_la_liga,Elche CF,MATCHED,Elche CF,Elche CF,1.0,0.0,1.0,elche,Exact normalized team-name match.
La Liga,soccer_spain_la_liga,Getafe,MATCHED,Getafe CF,Getafe CF,0.87,0.0,0.87,getafe,High-confidence distinctive-name match.
La Liga,soccer_spain_la_liga,Levante,MATCHED,Levante UD,Levante UD,0.8735294117647059,0.0,0.8735294117647059,levante,High-confidence distinctive-name match.
La Liga,soccer_spain_la_liga,Real Madrid,MATCHED,Real Madrid CF,Real Madrid CF,0.99,0.6855882352941177,0.30441176470588227,madrid,Verified team alias match.
La Liga,soccer_spain_la_liga,Sevilla,MATCHED,Sevilla FC,Sevilla FC,0.8735294117647059,0.0,0.8735294117647059,sevilla,High-confidence distinctive-name match.
La Liga,soccer_spain_la_liga,Valencia,MATCHED,Valencia CF,Valencia CF,0.8763157894736842,0.0,0.8763157894736842,valencia,High-confidence distinctive-name match.
La Liga,soccer_spain_la_liga,Villarreal,MATCHED,Villarreal CF,Villarreal CF,0.8804347826086957,0.0,0.8804347826086957,villarreal,High-confidence distinctive-name match.
Ligue 1,soccer_france_ligue_one,AS Monaco,MATCHED,AS Monaco FC,AS Monaco FC,0.9119047619047619,0.0,0.9119047619047619,monaco,High-confidence distinctive-name match.
Ligue 1,soccer_france_ligue_one,Le Havre,MATCHED,Le Havre AC,Le Havre AC,0.9096491228070175,0.0,0.9096491228070175,havre,High-confidence distinctive-name match.
Ligue 1,soccer_france_ligue_one,Paris FC,MATCHED,Paris FC,Paris FC,1.0,0.36140000000000005,0.6386,paris,Exact normalized team-name match.
Ligue 1,soccer_france_ligue_one,Paris Saint Germain,MATCHED,Paris Saint-Germain FC,Paris Saint-Germain FC,0.9390243902439025,0.31200000000000006,0.6270243902439024,"germain, paris, saint",High-confidence distinctive-name match.
Ligue 1,soccer_france_ligue_one,Toulouse,MATCHED,Toulouse FC,Toulouse FC,0.8763157894736842,0.0,0.8763157894736842,toulouse,High-confidence distinctive-name match.
Premier League,soccer_epl,Arsenal,MATCHED,Arsenal FC,Arsenal FC,0.99,0.0,0.99,arsenal,Verified team alias match.
Premier League,soccer_epl,Aston Villa,MATCHED,Aston Villa FC,Aston Villa FC,0.99,0.0,0.99,"aston, villa",Verified team alias match.
Premier League,soccer_epl,Brentford,MATCHED,Brentford FC,Brentford FC,0.8785714285714286,0.0,0.8785714285714286,brentford,High-confidence distinctive-name match.
Premier League,soccer_epl,Brighton and Hove Albion,MATCHED,Brighton & Hove Albion FC,Brighton & Hove Albion FC,0.9511764705882354,0.0,0.9511764705882354,"albion, and, brighton, hove",High-confidence distinctive-name match.
Premier League,soccer_epl,Chelsea,MATCHED,Chelsea FC,Chelsea FC,0.8735294117647059,0.0,0.8735294117647059,chelsea,High-confidence distinctive-name match.
Premier League,soccer_epl,Crystal Palace,MATCHED,Crystal Palace FC,Crystal Palace FC,0.99,0.0,0.99,"crystal, palace",Verified team alias match.
Premier League,soccer_epl,Everton,MATCHED,Everton FC,Everton FC,0.8735294117647059,0.0,0.8735294117647059,everton,High-confidence distinctive-name match.
Premier League,soccer_epl,Fulham,MATCHED,Fulham FC,Fulham FC,0.87,0.0,0.87,fulham,High-confidence distinctive-name match.
Premier League,soccer_epl,Ipswich Town,MATCHED,Ipswich Town FC,Ipswich Town FC,0.9166666666666666,0.0,0.9166666666666666,ipswich,High-confidence distinctive-name match.
Premier League,soccer_epl,Leeds United,MATCHED,Leeds United FC,Leeds United FC,0.9166666666666666,0.0,0.9166666666666666,leeds,High-confidence distinctive-name match.
Premier League,soccer_epl,Liverpool,MATCHED,Liverpool FC,Liverpool FC,0.99,0.0,0.99,liverpool,Verified team alias match.
Premier League,soccer_epl,Newcastle United,MATCHED,Newcastle United FC,Newcastle United FC,0.99,0.0,0.99,newcastle,Verified team alias match.
Premier League,soccer_epl,Nottingham Forest,MATCHED,Nottingham Forest FC,Nottingham Forest FC,0.9211711711711712,0.0,0.9211711711711712,"forest, nottingham",High-confidence distinctive-name match.
Premier League,soccer_epl,Sunderland,MATCHED,Sunderland AFC,Sunderland AFC,0.875,0.0,0.875,sunderland,High-confidence distinctive-name match.
Premier League,soccer_epl,Tottenham Hotspur,MATCHED,Tottenham Hotspur FC,Tottenham Hotspur FC,0.9211711711711712,0.0,0.9211711711711712,"hotspur, tottenham",High-confidence distinctive-name match.
Primeira Liga,soccer_portugal_primeira_liga,Casa Pia,MATCHED,Casa Pia AC,Casa Pia AC,0.9096491228070175,0.0,0.9096491228070175,"casa, pia",High-confidence distinctive-name match.
Primeira Liga,soccer_portugal_primeira_liga,FC Porto,MATCHED,FC Porto,FC Porto,1.0,0.0,1.0,porto,Exact normalized team-name match.
Primeira Liga,soccer_portugal_primeira_liga,Gil Vicente,MATCHED,Gil Vicente FC,Gil Vicente FC,0.9153333333333333,0.0,0.9153333333333333,"gil, vicente",High-confidence distinctive-name match.
