match_id,date,competition,season,stage,matchday,home_team,away_team,home_goals,away_goals,winner,country,league_name,data_source
league_0e7be5121b4fe7fc,2025-04-12,EREDIVISIE,2024-25,LEAGUE,,NAC Breda,Go Ahead Eagles,1,1,D,Netherlands,Eredivisie,football-data.co.uk
league_aba60b51a2475bb4,2025-04-12,EREDIVISIE,2024-25,LEAGUE,,PSV Eindhoven,Almere City,5,0,H,Netherlands,Eredivisie,football-data.co.uk
league_871dae09e5347148,2025-04-12,EREDIVISIE,2024-25,LEAGUE,,Sparta Rotterdam,Heerenveen,3,1,H,Netherlands,Eredivisie,football-data.co.uk
league_4d09aa0d119246b0,2025-04-13,EREDIVISIE,2024-25,LEAGUE,,Heracles,AZ Alkmaar,1,0,H,Netherlands,Eredivisie,football-data.co.uk
league_00a6d65cf9eacde9,2025-04-13,EREDIVISIE,2024-25,LEAGUE,,Utrecht,Groningen,3,1,H,Netherlands,Eredivisie,football-data.co.uk
league_b6698f285f743706,2025-04-13,EREDIVISIE,2024-25,LEAGUE,,Willem II,Ajax,1,2,A,Netherlands,Eredivisie,football-data.co.uk
league_a54f33cff8d30ea1,2025-04-13,EREDIVISIE,2024-25,LEAGUE,,Zwolle,Twente,1,1,D,Netherlands,Eredivisie,football-data.co.uk
league_0446968a79279f1d,2025-04-19,EREDIVISIE,2024-25,LEAGUE,,Heerenveen,Almere City,2,1,H,Netherlands,Eredivisie,football-data.co.uk
league_3cadd6e42680feb7,2025-04-20,EREDIVISIE,2024-25,LEAGUE,,Utrecht,Ajax,4,0,H,Netherlands,Eredivisie,football-data.co.uk
league_9d10a6e4779d7c9a,2025-04-23,EREDIVISIE,2024-25,LEAGUE,,Groningen,Heracles,4,1,H,Netherlands,Eredivisie,football-data.co.uk
league_ddd0e8825487e2a2,2025-04-24,EREDIVISIE,2024-25,LEAGUE,,AZ Alkmaar,NAC Breda,1,1,D,Netherlands,Eredivisie,football-data.co.uk
league_257c2aeac1299f76,2025-04-24,EREDIVISIE,2024-25,LEAGUE,,Twente,PSV Eindhoven,1,3,A,Netherlands,Eredivisie,football-data.co.uk
league_bf0515154d3180ab,2025-04-25,EREDIVISIE,2024-25,LEAGUE,,Feyenoord Rotterdam,Zwolle,4,0,H,Netherlands,Eredivisie,football-data.co.uk
league_87cc8f5e331f57f2,2025-04-25,EREDIVISIE,2024-25,LEAGUE,,Waalwijk,Utrecht,0,4,A,Netherlands,Eredivisie,football-data.co.uk
league_7521f72b4d315f00,2025-04-27,EREDIVISIE,2024-25,LEAGUE,,Ajax,Sparta Rotterdam,1,1,D,Netherlands,Eredivisie,football-data.co.uk
league_88e526d53e751f6a,2025-04-27,EREDIVISIE,2024-25,LEAGUE,,Almere City,Go Ahead Eagles,0,0,D,Netherlands,Eredivisie,football-data.co.uk
league_56139a118c038f26,2025-04-27,EREDIVISIE,2024-25,LEAGUE,,For Sittard,Willem II,1,0,H,Netherlands,Eredivisie,football-data.co.uk
league_afe8509a72d27f8d,2025-04-27,EREDIVISIE,2024-25,LEAGUE,,Heerenveen,Nijmegen,1,0,H,Netherlands,Eredivisie,football-data.co.uk
league_225ce99f89ccfc8a,2025-05-03,EREDIVISIE,2024-25,LEAGUE,,Groningen,Waalwijk,6,1,H,Netherlands,Eredivisie,football-data.co.uk
league_9a4197b9637e1329,2025-05-03,EREDIVISIE,2024-25,LEAGUE,,Heracles,Feyenoord Rotterdam,1,4,A,Netherlands,Eredivisie,football-data.co.uk
league_6acc087b2ab7073f,2025-05-03,EREDIVISIE,2024-25,LEAGUE,,Nijmegen,Willem II,1,1,D,Netherlands,Eredivisie,football-data.co.uk
league_e3dc499a68c01c7f,2025-05-03,EREDIVISIE,2024-25,LEAGUE,,PSV Eindhoven,For Sittard,4,1,H,Netherlands,Eredivisie,football-data.co.uk
